ID,Metabolite,X_002_D,X_005_D,X_006_C,X_008_D,X_011_A,X_012_D,X_013_C,X_015_B,X_016_B,X_017_C,X_018_C,X_019_C,X_020_D,X_021_C,X_022_C,X_023_D,X_024_C,X_025_C,X_026_D,X_027_D,X_028_D,X_029_D,X_030_C,X_031_D,X_032_A,X_033_B,X_034_A,X_035_C,X_036_C,X_037_C,X_038_D,X_039_D,X_040_C,X_041_D,X_042_A,X_043_D,X_044_C,X_045_D,X_046_C,X_047_D,X_048_D,X_049_C,X_050_B,X_051_D,X_052_A,X_053_C,X_054_D,X_056_C,X_057_A,X_058_D,X_059_C,X_060_C,X_061_A,X_062_A,X_063_C,X_064_C,X_065_C,X_066_D,X_067_C,X_068_C,X_069_C,X_070_A,X_071_C,X_072_D,X_073_C,X_074_C,X_075_D,X_076_A,X_077_C,X_078_D,X_079_D,X_080_C,X_081_A,X_082_D,X_083_A,X_084_B,X_085_C,X_086_A,X_087_D,X_088_C,X_089_B,X_090_B,X_091_B,X_093_D,X_094_A,X_096_A,X_097_B,X_098_D,X_099_C,X_100_A,X_101_A,X_102_C,X_103_A,X_104_A,X_105_D,X_106_C,X_107_A,X_108_D,X_109_D,X_110_D,X_111_B,X_113_B,X_114_B,X_115_B,X_116_B,X_117_A,X_118_A,X_119_B,X_120_A,X_121_B,X_124_A,X_125_B,X_126_B,X_127_B,X_128_B,X_129_A,X_130_C,X_131_B,X_132_A,X_133_A,X_134_A,X_135_B,X_136_A,X_137_A,X_138_A,X_139_C,X_140_A,X_141_A,X_142_A,X_143_B,X_144_B,X_145_B,X_146_A,X_147_A,X_148_B,X_149_C,X_150_A,X_151_B,X_152_B,X_153_A,X_154_B,X_156_A,X_157_B,X_158_A,X_159_A,X_160_B
pos_6,2-Palmitoylglycerol,4.744466896,4.779419124,4.78683827,4.778052991,4.857433809,4.837255475,4.827632169,4.899309781,4.837866131,4.836724801,4.87805848,4.869055687,4.789427387,4.845378252,4.870139729,4.81872072,4.859700279,4.883751071,4.831952759,4.866614199,4.828552505,4.875228624,4.865444237,4.892352043,4.767088968,4.844676382,4.856236765,4.838675399,4.879478321,4.870434444,4.878102764,4.795449099,4.849221134,4.787416474,4.862391543,4.876193189,4.784824918,4.874801007,4.839397893,4.855621074,4.846385034,4.865129354,4.899885559,4.907046245,4.83936091,4.841822921,4.895441338,4.763853653,4.818441784,4.883880342,4.900406891,4.909981919,4.919302519,4.853786283,4.866396046,4.871149143,4.912068394,4.924526935,4.79406788,4.7276126,4.24923046,4.912546601,4.823951125,4.833608703,4.91168028,4.823185036,4.865792019,4.901036521,4.91729072,4.863802095,4.845211926,4.892663054,4.837706422,4.830844024,4.914396253,4.87779878,4.890806282,4.838557263,4.891658928,4.904375265,4.857878751,4.850916486,4.880569085,4.940917964,4.865123695,4.903747198,4.871406079,4.894610718,4.920510974,4.879464844,4.891691688,4.901813589,4.838879944,4.791779258,4.870445638,4.71908419,4.781842738,4.936691588,4.908135887,4.923261406,4.867904454,4.890477004,4.954304349,4.937512669,4.940438962,4.97585997,4.952857584,4.916996687,4.894320933,4.917867923,4.960720551,5.011035568,4.993369551,4.992716118,5.007538977,5.035498261,5.012987043,5.008742488,5.036004052,5.051446944,4.944327408,5.021840808,5.039001565,5.041682029,5.010655472,4.937669762,4.996347725,5.031200443,5.03897536,5.029465621,5.006288841,5.081399186,4.984447299,5.073223384,5.038101464,5.099165696,5.072535278,4.998356527,4.982638079,4.988752533,5.018170845,5.073963458,5.056010918,5.019851849,4.994480442,5.065712663
pos_26,Mandelonitrile Benzoate,3.930029817,3.903313727,3.912615814,3.966069278,3.972695754,3.92679427,3.92828794,3.969173249,3.934491382,3.971023989,3.912393457,3.934795092,3.935819761,3.930873136,3.940737827,3.89206749,3.87154394,3.971496087,3.964391024,3.958905623,3.922134776,3.964470043,3.953878017,3.968097805,3.98432095,3.986811781,3.915833992,3.865585294,3.916382944,3.939622402,3.936441442,3.982774526,3.894544079,3.971283464,3.956727686,3.909306154,3.910612011,3.924153998,3.951582003,3.94884001,3.943724094,3.894740661,3.952820884,3.927662024,3.905672188,3.929465544,3.972279643,3.918488025,3.968629953,3.904622412,3.923990852,3.971270347,3.912459026,3.84935087,3.912227316,3.915438747,3.905437095,3.90070399,3.961887307,3.956579975,4.086952933,4.133693273,4.110047253,4.05066924,3.97897587,4.043208645,4.021967634,4.068598143,4.023115356,4.07434799,3.973447254,4.065907996,3.983417195,3.995376718,4.074477328,4.007905535,3.951762777,3.967560357,4.038210526,3.975645485,4.001804255,3.980714307,3.981324862,3.997271551,4.064891738,4.078949194,4.023865116,4.062388273,4.05667494,3.98776347,3.970497635,4.01572447,3.964874306,3.95562217,4.009235143,3.974752545,3.938253407,3.954406087,3.950887358,3.929906541,3.952640638,3.958588027,3.983705202,3.939330312,3.954295327,3.954643653,3.976259057,3.924754084,3.994138447,3.911562577,3.987656888,4.024085771,4.028882899,4.000535748,4.047627397,4.057014924,3.971227036,3.962040492,3.99089978,4.021152209,3.984503384,4.061022945,4.016835286,4.067465059,3.960991885,3.959095332,3.976245054,4.025890578,4.026317167,3.996507086,3.967798723,4.008710502,4.003287894,4.06330242,4.021370195,4.066496353,4.071797098,3.94806045,3.95211676,3.979550859,4.032709863,4.009255169,3.988900115,3.951646191,4.061570693,4.05704271
pos_37,Adenine,4.524355547,4.533744117,4.556088948,4.522034341,4.556550166,4.54288612,4.534322598,4.542958284,4.538350841,4.516537243,4.498342106,4.561370229,4.565114724,4.509315291,4.543347464,4.57515504,4.532234848,4.5041638,4.550197356,4.529005842,4.517151143,4.51064978,4.54073105,4.528125289,4.525802723,4.539451863,4.534737444,4.490306608,4.550134937,4.490917182,4.507978737,4.503928943,4.480615963,4.476364618,4.478376867,4.497660197,4.494480893,4.512003574,4.492168274,4.536912597,4.466460722,4.45051715,4.524951321,4.463097216,4.469946762,4.503825293,4.478351734,4.450982914,4.490347566,4.470615212,4.494869363,4.508408954,4.496449924,4.459645377,4.467871044,4.469206715,4.414207894,4.489161685,4.416161482,4.441642923,4.4289014,4.418860591,4.396513579,4.388127682,4.429636934,4.416217907,4.41352923,4.414907934,4.409832221,4.393758826,4.3769754,4.444651751,4.399226323,4.384568277,4.369772915,4.358558965,4.409427445,4.385203573,4.41137926,4.415039877,4.355145803,4.361930736,4.376683629,4.388558939,4.380764339,4.413280159,4.39597812,4.429716163,4.392752081,4.407316244,4.372845322,4.369280599,4.340072954,4.323210162,4.343816114,4.305123702,4.355423609,4.392111006,4.348741445,4.351515793,4.332954622,4.367778228,4.38087771,4.377622424,4.358247434,4.343175989,4.364780705,4.340320187,4.317095843,4.358936572,4.387527608,4.377598494,4.392368787,4.336467106,4.354441504,4.380204187,4.380671367,4.398688205,4.38964472,4.353960368,4.346274008,4.345955179,4.35800922,4.386820885,4.369922003,4.364423252,4.374552538,4.378633162,4.390050043,4.372969408,4.384481192,4.381524977,4.370653507,4.360203144,4.372069349,4.38932629,4.398745817,4.363646398,4.36155969,4.350857372,4.355522494,4.359984514,4.362122202,4.375012301,4.409408214,4.367293528
pos_40,Erythritol,4.631821335,4.630341993,4.634498158,4.615892401,4.642773737,4.608588857,4.636664267,4.623047344,4.608941243,4.603246811,4.600635112,4.644440898,4.641033812,4.615405824,4.627049219,4.650994976,4.623551842,4.578871245,4.646350253,4.623170468,4.611581775,4.597010387,4.624488591,4.623124325,4.599489427,4.614739241,4.62513045,4.586646849,4.633306635,4.604643718,4.613497152,4.584134697,4.569002545,4.580886518,4.5858819,4.616592442,4.603335737,4.609467814,4.604311037,4.642447554,4.574785833,4.561301748,4.632928894,4.559181966,4.574739764,4.593541763,4.552036518,4.53799577,4.578854874,4.584234102,4.593972438,4.598625622,4.605575578,4.572289994,4.568465976,4.566750809,4.511312449,4.567584072,4.525114776,4.555746615,4.518539134,4.486568521,4.486362106,4.475148308,4.512286486,4.488836584,4.504843015,4.520690043,4.492140183,4.491681266,4.464722777,4.500672196,4.474004422,4.481951443,4.475285806,4.465146807,4.489903923,4.459880769,4.502067695,4.523317429,4.452707654,4.467081751,4.467417279,4.499089284,4.492037055,4.501764001,4.491798503,4.496671676,4.495409625,4.476005397,4.475885372,4.47914842,4.42365678,4.396721071,4.436793335,4.417566303,4.44929599,4.466562766,4.446832745,4.450511621,4.424840413,4.439752557,4.470680607,4.456878091,4.457329468,4.460605674,4.439096444,4.455539522,4.433658537,4.442020317,4.508135872,4.47601266,4.48241887,4.469957178,4.46731872,4.481742161,4.511794021,4.477521645,4.470723855,4.471305497,4.459078064,4.472628604,4.485099649,4.469469141,4.464753561,4.457478839,4.449678165,4.499673145,4.509335347,4.46959349,4.473639734,4.487890092,4.49937745,4.483647676,4.484347066,4.51152157,4.496328331,4.488402983,4.436195207,4.469968167,4.490770352,4.479441066,4.479397252,4.449309235,4.496146351,4.50012447
pos_97,"N,N''-Sulfonylbisurea",4.215932869,4.133465423,4.235025795,4.205185149,4.280961114,4.326547066,4.271258382,4.329831587,4.184308649,4.16905789,4.215064404,4.074685877,4.08499434,4.151679255,4.121682793,3.860845869,4.040742344,4.237060306,3.922854889,4.117779826,4.037205136,4.014136924,3.952272855,3.88831283,4.055652731,3.992247,3.968736233,3.935737695,3.970360399,3.98661865,3.926120175,3.990531275,4.014937957,3.941484368,3.971590361,3.931937978,3.953387035,3.988545057,3.968195526,3.631651681,4.066609074,3.929259188,3.588104178,3.96538139,3.897410445,4.043286307,3.969779877,3.976215472,3.712686907,3.927390875,3.632277901,3.745299529,3.564282457,3.950934782,3.626009538,3.940858016,3.993081759,3.961937763,3.985529914,3.949229242,3.882727329,3.62371261,3.656924682,3.712573562,3.603623865,3.840903508,3.612672999,3.697717193,3.641254119,3.825150218,3.874238802,3.895130865,3.940776551,3.732973251,3.630612299,3.913096765,4.069457713,3.876675013,3.658563841,3.579039756,3.857327583,3.91247487,3.944118258,3.878664134,3.654788564,3.605011104,3.658373407,3.692841481,3.517344761,3.999667395,3.825640655,3.852848749,3.875153876,3.851961073,3.521925599,3.897801762,3.918004516,3.997331658,3.924463097,3.708061223,3.813397151,3.830508072,3.935099302,3.916095857,3.819695539,3.552361988,4.078774645,3.933532089,3.6164701,4.121678507,3.495998657,3.634664784,3.808370671,3.810595882,3.615741636,3.405077209,3.756743276,3.752336381,3.726803079,3.651902524,3.884378679,3.509707034,3.789276504,3.875113233,3.865080964,3.815899671,3.751555694,3.549379752,3.580335596,3.820683561,3.839209432,3.733214213,3.648046194,3.420439476,3.389405906,3.329601064,3.680694212,3.804478521,3.722056504,3.683564211,3.698114477,3.669282437,3.638616136,3.867907686,3.428882196,3.526528653
pos_553,"N6,N6,N6-Trimethyl-L-Lysine",4.355943765,4.742031233,4.629595087,4.518771651,4.763718536,4.534668971,4.75629351,4.629366952,4.564204709,4.542331198,4.581024247,4.538651265,4.427708466,4.804616935,4.444377081,4.416035638,4.408674669,4.510242629,4.409049816,4.349468909,4.538214346,4.626789523,4.285345228,4.536471738,4.660811645,4.767130723,4.504317247,4.343913642,4.352168049,4.497855333,4.177970538,4.557091425,4.567208416,4.58296634,4.92310682,4.474885069,4.490235952,4.555733577,4.701641383,4.36189616,4.469153152,4.948524136,4.16580652,4.561193538,4.531548805,4.529181052,4.513914445,4.575135012,4.14698142,4.762922712,4.444788799,4.274798418,4.726642225,4.977591691,4.174429007,4.331330421,4.496490829,4.496556637,4.586192426,4.697631653,4.393458417,4.399760216,4.374101139,4.472475245,4.569570954,4.403114833,4.363402247,4.892201741,4.244397157,4.376549916,4.45418424,4.920972481,4.525551762,4.552855711,4.576407383,4.252358866,4.330743472,4.119649932,4.256707239,4.187862788,4.44106025,4.500857795,4.479687318,4.587269142,4.222360351,4.454286896,4.167134913,4.228906653,4.263981595,4.615918952,4.334413016,4.635050708,4.76741694,4.901998204,4.416172403,4.486503593,4.539287135,4.521777196,5.006499456,4.623562634,4.70974347,4.863833395,4.561973493,4.576359293,4.496604138,4.600531626,4.839895806,4.760912462,4.207716243,4.440322351,4.273737797,4.416068509,4.212126888,4.535144843,4.239404182,4.22864841,4.346831983,4.94826845,4.317080614,4.224836447,4.267766535,4.300745884,4.100118693,4.284508549,4.634263665,4.405918292,4.525724314,4.25597011,4.371529732,4.467618709,4.535738179,4.348724888,4.692731437,4.637570749,4.414844243,4.158226938,4.354283543,4.605889684,4.553268975,4.443652879,4.337304495,4.302330229,4.285560357,4.540668973,4.296111355,4.226760943
pos_713,N1-Acetylspermidine,4.013045036,3.95733796,3.97567349,4.111613323,4.259553672,4.179181589,4.08775772,3.911807367,4.353415811,3.980186502,4.154701833,4.057859415,3.971820815,4.115926966,4.087807857,3.646449687,4.200319474,4.166912635,3.86070008,4.0595243,3.948796547,4.183142004,3.932322558,3.724275053,4.823149041,4.176649172,4.152219538,4.128500957,3.890865502,4.023192063,3.96011271,4.099910106,3.934712813,4.294406098,4.210742996,4.255103194,4.054164123,3.88419147,3.885912909,3.440892037,3.855860452,4.02297156,3.559513184,4.157557143,4.161588804,4.092137617,3.707491434,4.16821814,3.928244487,4.082800876,3.623451349,3.466109968,3.555934011,3.865801296,3.929975588,3.829235281,4.007836516,3.731484848,4.168644356,4.131683449,4.025484203,3.341043766,3.644589487,3.667538644,3.637642186,3.85529456,3.262191143,4.059227224,3.754513366,3.874075866,3.831900797,3.920472219,4.262760225,4.102409121,4.199929201,3.646463269,3.926365159,3.743350329,3.765775938,3.72243844,3.773897069,3.872061038,4.043409003,3.686610453,3.876436407,3.810419509,3.95918986,3.664610733,3.900878846,4.019525254,3.682719802,3.614360247,3.921852867,4.237063349,3.769601288,4.177877294,4.026881286,3.963827015,4.269418042,4.184998042,4.323592823,3.990770906,3.932457545,3.989715324,4.299825865,4.096847767,4.179911037,4.182518308,3.889137168,3.98353298,3.749686489,3.853297731,4.259152459,3.493611216,3.580743283,2.777725533,3.90762824,3.86364988,3.871626032,3.636509952,4.011470446,3.659529044,3.819452049,4.149496943,4.053299492,3.832263827,4.08456171,3.8606107,3.689275016,4.001960915,3.964699977,3.838094876,3.764989904,3.53520937,3.839910521,3.859989966,3.922983106,4.110300983,3.850693879,3.830365468,3.64734426,3.545632932,3.626756838,3.977288621,3.81465218,3.730060107
pos_731,Choline,5.802843022,5.731916461,5.632036785,5.724238159,5.791436319,5.6764112,5.653570035,5.822756318,5.710712328,5.729319536,5.602837789,5.775967945,5.912069099,5.783376544,5.801687174,5.878763167,5.942232566,5.553419117,5.85696363,5.761734721,5.89231925,5.810334728,5.683946766,5.803135717,5.791467751,5.862242819,5.827995044,5.778676389,5.608112335,5.855637099,5.723299782,5.726533127,5.878013398,5.685168472,5.670636705,5.812630636,5.691311634,5.897391734,5.924339262,5.95064802,5.896796463,5.856180518,6.131440258,5.868758718,5.820587311,5.758786333,5.66787075,5.745557432,5.734118501,5.716783135,5.778047998,5.904839689,5.820970364,5.795505587,5.915297427,5.814856737,5.730943708,5.613693597,5.655350096,5.734113768,5.900310877,5.839200589,5.844061411,5.828883827,6.080024977,5.771628968,5.858187954,6.02317901,5.726610797,5.803807085,5.78107515,5.930254061,5.76628949,5.863544809,5.992546792,5.702664772,5.735440287,5.839118588,5.85305827,5.875704769,5.803410812,5.830828368,5.800343712,5.823792964,5.745225524,5.832990369,5.903842273,5.928331489,5.689584829,5.984920121,5.763672239,5.653863474,5.79444041,5.768584391,5.799949908,5.767766231,5.719042142,5.655032798,5.766256604,5.81557513,5.768180648,5.84718097,5.669453842,5.776828161,5.731701306,5.764822926,5.83137412,5.843585985,5.630994884,5.735531778,5.806882715,5.814823132,5.822455357,5.95206558,5.783930865,5.876416375,5.780015522,5.768233708,5.662324024,5.749972793,5.822301079,5.833423078,5.729829083,5.772612983,5.745187671,5.814583368,5.660294448,5.861225205,5.872897387,5.871541209,5.648373127,5.741062063,5.884081646,5.814623803,5.864027832,5.853116031,5.67841025,5.7506772,5.850668824,5.781817734,5.76690336,5.821360104,5.770547595,5.672682022,6.189366933,5.870091936
pos_736,3-Methylhistidine,4.394842592,5.057640128,4.740743744,4.627515337,4.716502933,4.395847934,5.092071187,4.585375722,4.636017264,4.672724194,4.431868761,4.597124533,4.814255961,4.909328589,4.488373941,4.514926794,4.428486816,4.462764474,4.611420054,4.444908933,4.479253638,4.393115036,4.306602084,4.777805092,4.487549356,4.704470484,4.51558656,3.961875685,4.593257543,4.565744523,4.626401359,4.799574804,4.464953513,4.807251108,4.307494275,4.626250715,4.649174305,4.55628597,4.5459043,4.660886839,4.610881627,4.881286085,4.320036583,4.510237675,5.000640069,4.753010509,4.417773365,4.245023176,4.408668491,5.024967403,4.298662689,4.341891071,4.79633252,5.066889575,4.60538752,4.311027375,4.531775679,4.452233561,4.373451941,4.738500426,4.638229909,4.995071357,4.650436219,4.568911924,5.172586315,4.453809719,4.847232847,4.781744924,4.645664894,4.467738083,4.43328408,4.836399248,5.013085542,4.591668153,4.986170508,4.742998884,4.677410498,4.419910573,4.522217977,4.391055294,5.007759117,4.775997869,4.559027776,4.502233515,4.673274149,4.504292497,4.373451014,4.273393993,4.677373738,4.244410486,4.311881272,4.519745553,4.705357015,4.731626983,4.845364558,4.843204262,4.531456535,4.473721474,4.888760255,4.767010474,4.362021207,4.932978004,4.59676217,4.902762382,4.469422376,4.615388979,4.693111023,4.604742157,4.236320551,4.6592305,4.177740606,4.613838385,4.493405652,4.578905255,4.437273674,4.47834564,4.714832292,4.929060298,4.406621799,4.156124984,4.226269356,4.676695775,4.319439814,4.052248041,4.745682465,4.545588343,4.626561462,4.663040261,4.578636382,4.471923439,4.626359793,4.287238497,4.777801855,4.613533155,4.384466777,4.479006185,4.383613636,4.640444545,4.484392443,4.318827281,5.042188927,4.657082661,4.593882569,4.685612314,4.858627086,4.619186272
pos_799,D-Pyroglutamic Acid,5.185893336,5.278463081,5.309521328,5.182365122,5.304469606,5.220938752,5.283432959,5.275794684,5.279193237,5.328059288,5.402078645,5.162592097,5.212003061,5.361574077,5.343213376,5.046366783,5.127155029,5.270898057,5.168217214,5.14809371,5.24327905,5.254236363,5.205961188,5.232467941,5.303187556,5.409540414,5.134531105,5.225624037,5.147019674,5.152326974,5.178646811,5.355249429,5.151011327,5.218611363,5.264219132,5.248502329,5.241681262,5.201547721,5.225800017,5.089690629,5.249453729,5.357626704,5.171992639,5.26087126,5.278843016,5.231371003,5.215254321,5.328260076,5.044859044,5.176504175,5.075388126,5.090859458,4.987098323,5.124622216,5.1102119,5.217264311,5.326703278,5.173976077,5.310193199,5.097862621,5.116482682,5.044163536,5.077962271,5.034428793,5.015848485,5.04049639,4.873625872,5.011618353,5.157662781,5.162135837,5.307213502,5.118510328,5.195246739,5.151120672,5.00466165,5.190856687,5.19063851,5.060098126,5.078579834,4.971338383,5.297695925,5.105699852,5.118786524,5.12728893,5.157154636,5.046901628,5.16204349,4.946489109,5.128856279,5.280696295,5.183920942,5.106429394,5.272801847,5.215066118,4.994742958,5.174696726,5.250980224,5.257339979,5.337233478,5.374989305,5.445660561,5.303278683,5.330782383,5.302991842,5.360056354,5.278790251,5.26726778,5.26032756,5.107129967,5.309852666,5.147544055,5.16105373,5.162668233,5.070308279,4.97624183,5.085460045,5.08496043,5.034250234,5.146126409,5.184064027,5.172252174,4.962282926,5.15142169,5.141800811,5.300561117,5.191098321,5.21359975,5.04798402,5.109354457,5.196107955,5.272072543,5.146206916,5.154702157,5.02671136,5.157112284,5.1169776,5.206040362,5.323127049,5.263349623,5.180292476,5.093664781,5.091910951,5.044172142,5.178471967,5.044657438,5.082646371
